Particles,area,equivalent circular diameter,x,y,major axis length,minor axis length,circularity,eccentricity,solidity,intensity,intensity_max,intensity_std,bbox_area,bbox_length
Particle 1,208.26306505664024,16.284003504601266,45.913508051837034,86.0419966802001,21.366146538150144,14.205686977743863,0.09330130263672813,0.7469600434423513,0.7847902783222266,2379644996.8387103,1407004.4677419355,0.028601128503814455,421.31139534435215,29.98776028938956
Particle 2,247.48143445042317,17.751145003352935,47.84221980732973,61.966734232716874,23.245632586123016,15.3125535333503,0.10787940103530491,0.7523809996346041,0.7644601542416453,2915073119.6416183,1382430.7832369942,0.032176726818678246,478.6305506121887,31.30813258694958
Particle 3,344.3310416271125,20.938383382665652,62.423522533710454,120.75124145044842,33.63127438942306,15.69356251591728,0.06660426631381242,0.8844494710360346,0.7389217546601183,3914277075.9614563,1415548.9507494648,0.03640513429414642,690.0144408195279,37.99665417462207
Particle 4,129.82632626907446,12.856905247899865,54.875730698229745,133.89028450637124,15.211776261965179,12.467940573491894,0.1347719495293135,0.572901478012996,0.6895027624309392,1470515840.1201413,1459923.664310954,0.02160890678034124,243.94449927963106,22.09880364028485
Particle 5,157.08153258517822,14.14222114927687,166.15896770373874,83.88624574960956,15.029346659130846,13.719728423686632,0.22207693406438622,0.4082669210826584,0.8445190156599552,1713210680.8672564,1342866.7300884956,0.02429428719565522,258.4043224778693,22.743719324867325
Particle 6,146.6267683303369,13.66349149210795,169.3176062783585,105.75746694276438,15.016867957540084,13.695520021663949,0.12465549827504355,0.4101699975824427,0.7744505494505495,1806785894.8300397,1639116.1897233203,0.02256579222890286,254.81537355456558,22.579610318142734
Particle 7,271.1476918432232,18.58052646505087,182.01299043676056,111.9425821416173,28.750180197790122,13.85694526969588,0.09782169664066341,0.8761834922050238,0.7580340264650284,3073214143.8387103,1350351.1985111663,0.033378079260306726,567.8861499221774,33.70816553324965
Particle 8,186.52131650677123,15.410591037091491,181.77416329211735,188.74668871659972,17.36072095775975,15.40731329895684,0.12846680143593905,0.4608439399366749,0.7633035334184759,2165220472.3263884,1619288.9409722222,0.024548011053787108,332.419892301945,25.820772252090165
